ai_app_id,ability_id,label,note
9,1,high,[speech recognition] Transcribes speech; aligns with auditory/speech perception. — engages 'Oral Comprehension': the ability to listen to and understand information and ideas presented through spoken words and sentences. (FRS≈1.00).
1,1,low,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — little for 'Oral Comprehension', unrelated to the ability to listen to and understand information and ideas presented through spoken words and sentences. (FRS≈0.00)."
6,2,high,[reading comprehension] Extracts meaning and evidence from text; aligns with text-based reasoning. — engages 'Written Comprehension': the ability to read and understand information and ideas presented in writing. (FRS≈1.00).
1,2,low,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — little for 'Written Comprehension', unrelated to the ability to read and understand information and ideas presented in writing. (FRS≈0.25)."
8,3,high,[translation] Maps meaning across languages; strong for textual expression/comprehension. — engages 'Oral Expression': the ability to communicate information and ideas in speaking so others will understand. (FRS≈0.50).
1,3,low,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — little for 'Oral Expression', unrelated to the ability to communicate information and ideas in speaking so others will understand. (FRS≈0.00)."
8,4,high,[translation] Maps meaning across languages; strong for textual expression/comprehension. — engages 'Written Expression': the ability to communicate information and ideas in writing so others will understand. (FRS≈1.00).
1,4,low,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — little for 'Written Expression', unrelated to the ability to communicate information and ideas in writing so others will understand. (FRS≈0.25)."
4,5,high,"[visual question answering] Integrates vision & language to answer questions about images (multimodal reasoning). — engages 'Fluency of Ideas': the ability to come up with a number of ideas about a topic (the number of ideas matters, not their quality, correctness, or creativity). (FRS≈0.75)."
1,5,low,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — little for 'Fluency of Ideas', unrelated to the ability to come up with a number of ideas about a topic (the number of ideas matters, not their quality, correctness, or creativity). (FRS≈0.25)."
5,6,high,"[generating images] Synthesizes images from prompts; supports creativity/visualization. — engages 'Originality': the ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem. (FRS≈1.00)."
8,6,low,"[translation] Maps meaning across languages; strong for textual expression/comprehension. — little for 'Originality', unrelated to the ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem. (FRS≈0.25)."
1,7,high,[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — engages 'Problem Sensitivity': the ability to tell when something is wrong or is likely to go wrong; recognizing a problem without necessarily solving it. (FRS≈1.00).
3,7,low,"[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — little for 'Problem Sensitivity', unrelated to the ability to tell when something is wrong or is likely to go wrong; recognizing a problem without necessarily solving it. (FRS≈0.00)."
1,8,high,[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — engages 'Deductive Reasoning': the ability to apply general rules to specific problems to produce answers that make sense. (FRS≈1.00).
5,8,low,"[generating images] Synthesizes images from prompts; supports creativity/visualization. — little for 'Deductive Reasoning', unrelated to the ability to apply general rules to specific problems to produce answers that make sense. (FRS≈0.25)."
6,9,high,[reading comprehension] Extracts meaning and evidence from text; aligns with text-based reasoning. — engages 'Inductive Reasoning': the ability to combine pieces of information to form general rules or conclusions (including finding relationships among seemingly unrelated events). (FRS≈1.00).
5,9,low,"[generating images] Synthesizes images from prompts; supports creativity/visualization. — little for 'Inductive Reasoning', unrelated to the ability to combine pieces of information to form general rules or conclusions (including finding relationships among seemingly unrelated events). (FRS≈0.25)."
1,10,high,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — engages 'Information Ordering': the ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., numbers, letters, words, pictures). (FRS≈0.75)."
9,10,low,"[speech recognition] Transcribes speech; aligns with auditory/speech perception. — little for 'Information Ordering', unrelated to the ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., numbers, letters, words, pictures). (FRS≈0.25)."
7,11,high,[language modeling] Predicts/follows instructions in text; supports language-centric abilities. — engages 'Category Flexibility': the ability to generate or use different sets of rules for combining or grouping things in different ways. (FRS≈1.00).
5,11,low,"[generating images] Synthesizes images from prompts; supports creativity/visualization. — little for 'Category Flexibility', unrelated to the ability to generate or use different sets of rules for combining or grouping things in different ways. (FRS≈0.25)."
1,12,high,[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — engages 'Mathematical Reasoning': the ability to choose the right mathematical methods or formulas to solve a problem. (FRS≈0.75).
6,12,low,"[reading comprehension] Extracts meaning and evidence from text; aligns with text-based reasoning. — little for 'Mathematical Reasoning', unrelated to the ability to choose the right mathematical methods or formulas to solve a problem. (FRS≈0.25)."
1,13,high,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — engages 'Number Facility': the ability to add, subtract, multiply, or divide quickly and correctly. (FRS≈0.25)."
3,13,low,"[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — little for 'Number Facility', unrelated to the ability to add, subtract, multiply, or divide quickly and correctly. (FRS≈0.00)."
1,14,high,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — engages 'Memorization': the ability to remember information such as words, numbers, pictures, and procedures. (FRS≈0.75)."
5,14,low,"[generating images] Synthesizes images from prompts; supports creativity/visualization. — little for 'Memorization', unrelated to the ability to remember information such as words, numbers, pictures, and procedures. (FRS≈0.25)."
1,15,high,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — engages 'Speed of Closure': the ability to quickly make sense of, combine, and organize information into meaningful patterns. (FRS≈1.00)."
8,15,low,"[translation] Maps meaning across languages; strong for textual expression/comprehension. — little for 'Speed of Closure', unrelated to the ability to quickly make sense of, combine, and organize information into meaningful patterns. (FRS≈0.25)."
1,16,high,[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — engages 'Flexibility of Closure': the ability to identify or detect a known pattern that is hidden in other distracting material. (FRS≈1.00).
8,16,low,"[translation] Maps meaning across languages; strong for textual expression/comprehension. — little for 'Flexibility of Closure', unrelated to the ability to identify or detect a known pattern that is hidden in other distracting material. (FRS≈0.25)."
1,17,high,"[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — engages 'Perceptual Speed': the ability to quickly and accurately compare similarities and differences among sets of letters, numbers, objects, pictures, or patterns. (FRS≈0.75)."
8,17,low,"[translation] Maps meaning across languages; strong for textual expression/comprehension. — little for 'Perceptual Speed', unrelated to the ability to quickly and accurately compare similarities and differences among sets of letters, numbers, objects, pictures, or patterns. (FRS≈0.00)."
2,18,high,"[real-time video games] Rapid perception–action cycles, multitasking in dynamic environments. — engages 'Spatial Orientation': the ability to know your location in relation to the environment or where other objects are in relation to you. (FRS≈0.75)."
6,18,low,"[reading comprehension] Extracts meaning and evidence from text; aligns with text-based reasoning. — little for 'Spatial Orientation', unrelated to the ability to know your location in relation to the environment or where other objects are in relation to you. (FRS≈0.00)."
5,19,high,[generating images] Synthesizes images from prompts; supports creativity/visualization. — engages 'Visualization': the ability to imagine how something will look after it is moved or when its parts are rearranged. (FRS≈1.00).
3,19,low,"[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — little for 'Visualization', unrelated to the ability to imagine how something will look after it is moved or when its parts are rearranged. (FRS≈0.25)."
1,20,high,[abstract strategy games] Search/planning over discrete states; strong mapping to rule-based reasoning/patterns. — engages 'Selective Attention': the ability to concentrate on a task over a period of time without being distracted. (FRS≈0.50).
3,20,low,"[image recognition] Detects/categorizes visual objects; limited for non-visual abilities. — little for 'Selective Attention', unrelated to the ability to concentrate on a task over a period of time without being distracted. (FRS≈0.25)."
